1-1-02-016,190000,0,BT   N-197 CEAL - CIUDADELA_CDD,2,1,0,,,,,,0,,0,,,0,21491546,BT ,197,09/11/2021,09/11/2021,BT ,197,,0,190000,0,0,0,0,0,0,0,190000,S
3-1-01-030,0,190000,BT   N-197 CEAL - CIUDADELA_CDD,2,0,1,,,,,,0,V-E-2206,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,190000,0,BT   N-198 CEAL - CIUDADELA_CDD,2,1,0,,,,,,0,,0,,,0,21536377,BT ,198,09/11/2021,09/11/2021,BT ,198,,0,190000,0,0,0,0,0,0,0,190000,S
3-1-01-030,0,190000,BT   N-198 CEAL - CIUDADELA_CDD,2,0,1,,,,,,0,V-E-2206,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,190000,0,BT   N-199 CEAL - CIUDADELA_CDD,2,1,0,,,,,,0,,0,,,0,21402159,BT ,199,09/11/2021,09/11/2021,BT ,199,,0,190000,0,0,0,0,0,0,0,190000,S
3-1-01-030,0,190000,BT   N-199 CEAL - CIUDADELA_CDD,2,0,1,,,,,,0,V-E-2206,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,660570,0,BT   N-200 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21627722,BT ,200,09/11/2021,09/11/2021,BT ,200,,0,660570,0,0,0,0,0,0,0,660570,S
3-1-01-030,0,660570,BT   N-200 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,0,1,,,,,,0,V-E-2212,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,681000,0,BT   N-201 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21612036,BT ,201,09/11/2021,09/11/2021,BT ,201,,0,681000,0,0,0,0,0,0,0,681000,S
3-1-01-030,0,681000,BT   N-201 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,0,1,,,,,,0,V-E-2212,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
